Temparature,Humidity,Soil Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26,52,38,Clayey,Maize,37,0,0,Urea
29,52,45,Laterite,Sugarcane,12,0,36,DAP
34,65,62,Black,Cotton,7,9,30,14-35-14
32,62,34,Red,Tobacco,22,0,20,28-28
28,54,46,Alluvial,Cauliflower,35,0,0,Urea
26,52,35,Clayey,Potato,12,10,13,17-17-17
25,50,64,Red,Cotton,9,0,10,20-20
33,64,50,Laterite,Wheat,41,0,0,Urea
30,60,42,Clayey,Tea,21,0,18,28-28
29,58,33,Black,Rice,9,7,30,14-35-14
27,54,28,Alluvial,Coffee,13,0,40,DAP
31,62,48,Clayey,Maize,14,15,12,17-17-17
25,50,65,Laterite,Cotton,36,0,0,Urea
32,62,41,Alluvial,Cauliflower,24,0,22,28-28
26,52,31,Red,Ground Nuts,14,0,41,DAP
31,62,49,Black,Sugarcane,10,13,14,17-17-17
33,64,34,Alluvial,Coffee,38,0,0,Urea
25,50,39,Clayey,Potato,21,0,19,28-28
28,54,65,Black,Cotton,39,0,0,Urea
29,58,52,Laterite,Wheat,13,0,36,DAP
30,60,44,Clayey,Tea,10,0,9,20-20
34,65,53,Laterite,Sugarcane,12,14,12,17-17-17
35,68,33,Red,Tobacco,11,0,37,DAP
28,54,37,Black,Tea,36,0,0,Urea
33,64,39,Alluvial,Cauliflower,13,0,10,20-20
26,52,44,Clayey,Maize,23,0,20,28-28
30,60,63,Red,Cotton,9,9,29,14-35-14
32,62,30,Laterite,Sugarcane,38,0,0,Urea
37,70,32,Black,Rice,12,0,39,DAP
26,52,36,Alluvial,Coffee,14,0,13,20-20
29,58,40,Red,Ground Nuts,24,0,23,28-28
30,60,27,Laterite,Sugarcane,12,0,40,DAP
34,65,38,Alluvial,Cauliflower,39,0,0,Urea
36,68,38,Clayey,Potato,7,9,30,14-35-14
26,52,48,Laterite,Wheat,23,0,19,28-28
28,54,35,Black,Tea,41,0,0,Urea
30,60,61,Laterite,Cotton,8,10,31,14-35-14
37,70,37,Alluvial,Cauliflower,12,0,41,DAP
25,50,26,Red,Ground Nuts,15,14,11,17-17-17
29,58,34,Clayey,Tea,15,0,37,DAP
27,54,30,Alluvial,Coffee,13,0,13,20-20
30,60,58,Laterite,Sugarcane,10,7,32,14-35-14
32,62,34,Red,Tobacco,22,0,24,28-28
34,65,60,Black,Sugarcane,35,0,0,Urea
35,67,42,Clayey,Potato,10,0,35,DAP
38,70,48,Laterite,Wheat,8,8,28,14-35-14
26,52,32,Black,Rice,12,0,8,20-20
29,58,43,Alluvial,Cauliflower,24,0,18,28-28
30,60,29,Red,Ground Nuts,41,0,0,Urea
33,64,51,Clayey,Maize,5,9,29,14-35-14
34,65,31,Red,Tobacco,23,0,21,28-28
36,68,33,Black,Rice,13,0,14,20-20
28,54,38,Alluvial,Coffee,40,0,0,Urea
30,60,47,Clayey,Potato,12,0,42,DAP
31,62,63,Red,Cotton,11,12,15,17-17-17
27,53,43,Black,Tea,23,0,24,28-28
34,65,54,Laterite,Wheat,38,0,0,Urea
29,58,37,Clayey,Tea,8,0,15,20-20
25,50,56,Laterite,Sugarcane,11,13,15,17-17-17
32,62,34,Red,Ground Nuts,15,0,37,DAP
28,54,41,Alluvial,Cauliflower,36,0,0,Urea
30,60,49,Laterite,Wheat,13,0,9,20-20
34,65,64,Black,Cotton,24,0,20,28-28
28,54,47,Clayey,Potato,5,18,15,10-26-26
27,53,35,Black,Rice,37,0,0,Urea
36,68,62,Red,Cotton,15,0,40,DAP
34,65,57,Black,Sugarcane,9,0,13,20-20
29,58,55,Laterite,Sugarcane,8,8,33,14-35-14
25,50,40,Alluvial,Coffee,6,19,16,10-26-26
30,60,38,Clayey,Tea,10,0,14,20-20
26,52,39,Alluvial,Coffee,21,0,23,28-28
31,62,32,Red,Tobacco,39,0,0,Urea
34,65,48,Laterite,Wheat,23,0,19,28-28
27,53,34,Black,Rice,42,0,0,Urea
33,64,31,Red,Ground Nuts,13,0,39,DAP
29,58,42,Alluvial,Cauliflower,9,10,22,14-35-14
30,60,47,Clayey,Maize,22,0,21,28-28
27,53,59,Laterite,Sugarcane,10,0,15,20-20
26,52,36,Alluvial,Coffee,7,16,20,10-26-26
34,65,63,Red,Cotton,14,0,38,DAP
28,54,43,Alluvial,Cauliflower,10,8,29,14-35-14
30,60,40,Clayey,Tea,41,0,0,Urea
29,58,65,Black,Cotton,14,0,35,DAP
26,52,59,Laterite,Sugarcane,11,0,9,20-20
31,62,44,Clayey,Potato,21,0,28,28-28
35,67,28,Alluvial,Coffee,8,7,31,14-35-14
29,58,30,Red,Tobacco,13,17,16,10-26-26
27,53,30,Black,Tea,35,0,0,Urea
36,68,50,Laterite,Wheat,12,18,19,10-26-26
29,58,61,Laterite,Cotton,11,0,38,DAP
30,60,26,Black,Rice,8,9,30,14-35-14
34,65,45,Alluvial,Cauliflower,6,19,21,10-26-26
36,68,41,Red,Ground Nuts,41,0,0,Urea
28,54,25,Clayey,Maize,9,10,30,14-35-14
25,50,32,Alluvial,Coffee,24,0,19,28-28
30,60,27,Red,Tobacco,4,17,17,10-26-26
38,72,51,Laterite,Wheat,39,0,0,Urea
36,60,43,Clayey,Tea,15,0,41,DAP
29,58,57,Black,Sugarcane,12,0,10,20-20
